,county,fips,value (percent),households (with >1 person per room),rank within us,age,areatype,demo,file_name,race,sex,source_url,stateFIPS,topic,type,people (education: less than 9th grade),people(education: less than high school),people (education: at least bachelors degree),value (dollars),people (uninsured),households (language isolation),people (haven't moved),people (moved within county),people (moved from different county in same state),people (moved from different state),people (moved from outside us),people (age under 18),people (age 18-39),people (age 40-64),people (age 40 and over),people (age 50 and over),people (age 65 and over),people (ai/an),people (api),people (black),people (foreign born),people (hispanic),people (non-hispanic [origin recode]),people (white),people (female),people (male),families (below poverty),people (below poverty),people (<150% of poverty),people (unemployed)
198,Cobb County,13067.0,4.3,,1572 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,21121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Bibb County,13021.0,4.3,,1576 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,4292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Crawford County,13079.0,4.3,,1582 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,McIntosh County,13191.0,4.4,,1634 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Lowndes County,13185.0,4.5,,1649 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,2967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Rockdale County,13247.0,4.5,,1662 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,2592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Dawson County,13085.0,4.5,,1687 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Ware County,13299.0,4.5,,1692 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,1101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Baldwin County,13009.0,4.6,,1725 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,1296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Irwin County,13155.0,4.7,,1737 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Bleckley County,13023.0,4.7,,1760 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Thomas County,13275.0,4.7,,1780 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,1445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Hart County,13147.0,4.8,,1783 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Richmond County,13245.0,4.9,,1832 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,6380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Schley County,13249.0,4.9,,1847 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,McDuffie County,13189.0,5.0,,1852 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Towns County,13281.0,5.0,,1872 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Spalding County,13255.0,5.1,,1880 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,2201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Marion County,13197.0,5.1,,1885 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Seminole County,13253.0,5.1,,1889 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Rabun County,13241.0,5.1,,1891 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,DeKalb County,13089.0,5.1,,1895 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,25536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Clarke County,13059.0,5.2,,1898 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,3514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Ben Hill County,13017.0,5.2,,1921 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Wilkinson County,13319.0,5.2,,1923 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Fannin County,13111.0,5.2,,1937 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Laurens County,13175.0,5.3,,1950 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,1668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Jenkins County,13165.0,5.3,,1954 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Miller County,13201.0,5.3,,1971 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Brantley County,13025.0,5.3,,1972 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Pierce County,13229.0,5.4,,1979 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Berrien County,13019.0,5.4,,1996 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Stephens County,13257.0,5.4,,1997 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Bartow County,13015.0,5.5,,2035 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,3783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Troup County,13285.0,5.6,,2047 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,2494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Pulaski County,13235.0,5.6,,2049 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Walker County,13295.0,5.6,,2056 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,2685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Butts County,13035.0,5.6,,2075 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Johnson County,13167.0,5.7,,2084 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Pickens County,13227.0,5.7,,2086 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,1252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Tift County,13277.0,5.7,,2090 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,1460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Peach County,13225.0,5.7,,2105 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Lumpkin County,13187.0,5.7,,2109 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,1135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Wilcox County,13315.0,5.7,,2112 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Webster County,13307.0,5.8,,2121 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Talbot County,13263.0,5.8,,2129 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Upson County,13293.0,5.8,,2139 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Dougherty County,13095.0,5.8,,2150 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,3396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Lincoln County,13181.0,5.9,,2159 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Jackson County,13157.0,5.9,,2160 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,2517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Clay County,13061.0,5.9,,2162 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Mitchell County,13205.0,5.9,,2180 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,907.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Heard County,13149.0,6.0,,2199 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Carroll County,13045.0,6.1,,2215 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,4344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Bacon County,13005.0,6.2,,2265 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Wheeler County,13309.0,6.2,,2267 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Screven County,13251.0,6.2,,2270 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Madison County,13195.0,6.3,,2280 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,1230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Cook County,13075.0,6.3,,2301 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Barrow County,13013.0,6.3,,2305 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,3091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Quitman County,13239.0,6.3,,2306 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Gwinnett County,13135.0,6.4,,2329 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,36099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Greene County,13133.0,6.4,,2334 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Baker County,13007.0,6.5,,2338 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Candler County,13043.0,6.5,,2342 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Terrell County,13273.0,6.5,,2348 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Wayne County,13305.0,6.5,,2353 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,1312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Clayton County,13063.0,6.5,,2355 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,10999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Jeff Davis County,13161.0,6.6,,2364 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Washington County,13303.0,6.6,,2377 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,931.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Elbert County,13105.0,6.7,,2390 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Haralson County,13143.0,6.7,,2397 of 3141,81,county,4,demographics_001.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,ed,manyareacensus,1300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
